"","Name","Length","Color"
"1","Dung Beetle",2.15031008049846,"Red"
"2","Firefy Beetle",4.15322054177523,"Yellow"
"3","Ladybug",2.6359076872468,"Red"
"4","Stag Beetle",4.53206961601973,"Red"
"5","Ladybug",4.76186913717538,"Blue"
"6","Stag Beetle",1.18222599755973,"Green"
"7","Dung Beetle",3.11242195218801,"Black"
"8","Jewel Beetle",4.56967617757618,"Black"
"9","Jewel Beetle",3.2057400578633,"Red"
"10","Firefy Beetle",2.82645894121379,"Green"
"11","Ladybug",4.82733338139951,"Yellow"
"12","Dung Beetle",2.81333662476391,"Red"
"13","Ladybug",3.71028254181147,"Green"
"14","Ladybug",3.29053360782564,"Blue"
"15","Firefy Beetle",1.41169873066247,"Yellow"
"16","Dung Beetle",4.59929988160729,"Black"
"17","Ladybug",1.98435093741864,"Blue"
"18","Firefy Beetle",1.16823813412338,"Red"
"19","Jewel Beetle",2.31168287713081,"Red"
"20","Firefy Beetle",4.81801459658891,"Black"
